Image_name,index,gps_coordinate
images_00000.png,0,"[-27.506679666666667, 152.91105033333332]"
images_00001.png,1,"[-27.506679666666667, 152.91105033333332]"
images_00002.png,2,"[-27.506697333333335, 152.91115716666667]"
images_00003.png,3,"[-27.506697333333335, 152.91115716666667]"
images_00004.png,4,"[-27.506719, 152.91131433333334]"
images_00005.png,5,"[-27.506719, 152.91131433333334]"
images_00006.png,6,"[-27.506747666666666, 152.9115185]"
images_00007.png,7,"[-27.506767166666666, 152.91163916666667]"
images_00008.png,8,"[-27.506786833333333, 152.91176633333333]"
images_00009.png,9,"[-27.506806333333333, 152.9118955]"
images_00010.png,10,"[-27.5068255, 152.91202566666666]"
images_00011.png,11,"[-27.5068445, 152.91215783333334]"
images_00012.png,12,"[-27.506863, 152.9122935]"
images_00013.png,13,"[-27.506883166666668, 152.91243283333333]"
images_00014.png,14,"[-27.506905166666666, 152.9125775]"
images_00015.png,15,"[-27.50692816666667, 152.91272483333333]"
images_00016.png,16,"[-27.506951333333333, 152.91287283333332]"
images_00017.png,17,"[-27.506976, 152.91302266666668]"
images_00018.png,18,"[-27.506999666666665, 152.91317383333333]"
images_00019.png,19,"[-27.507020833333332, 152.91332616666668]"
images_00020.png,20,"[-27.507043, 152.9134765]"
images_00021.png,21,"[-27.507065333333333, 152.91362366666667]"
images_00022.png,22,"[-27.507088833333334, 152.91376783333334]"
images_00023.png,23,"[-27.507111166666668, 152.913909]"
images_00024.png,24,"[-27.5071315, 152.9140485]"
images_00025.png,25,"[-27.507152333333334, 152.91418733333333]"
images_00026.png,26,"[-27.507173, 152.914323]"
images_00027.png,27,"[-27.507192833333335, 152.91445383333334]"
images_00028.png,28,"[-27.5072115, 152.9145735]"
images_00029.png,29,"[-27.507226166666666, 152.91467416666666]"
images_00030.png,30,"[-27.507226166666666, 152.91467416666666]"
images_00031.png,31,"[-27.507222666666667, 152.91479733333333]"
images_00032.png,32,"[-27.507222666666667, 152.91479733333333]"
images_00033.png,33,"[-27.507222666666667, 152.91479733333333]"
images_00034.png,34,"[-27.507222666666667, 152.91479733333333]"
images_00035.png,35,"[-27.507255, 152.9149265]"
images_00036.png,36,"[-27.507255, 152.9149265]"
images_00037.png,37,"[-27.507378666666668, 152.91499366666667]"
images_00038.png,38,"[-27.507378666666668, 152.91499366666667]"
images_00039.png,39,"[-27.507555, 152.91503833333334]"
images_00040.png,40,"[-27.507658833333334, 152.91505716666666]"
images_00041.png,41,"[-27.507772666666668, 152.915071]"
images_00042.png,42,"[-27.507892, 152.91507783333333]"
images_00043.png,43,"[-27.508015666666665, 152.9150775]"
images_00044.png,44,"[-27.508142166666666, 152.91506933333332]"
images_00045.png,45,"[-27.508271833333332, 152.91505516666666]"
images_00046.png,46,"[-27.508401166666665, 152.91504066666667]"
images_00047.png,47,"[-27.508532166666665, 152.915026]"
images_00048.png,48,"[-27.508662833333332, 152.9150125]"
images_00049.png,49,"[-27.508793, 152.91499883333333]"
images_00050.png,50,"[-27.508923166666666, 152.91498833333333]"
images_00051.png,51,"[-27.50905283333333, 152.91498633333333]"
images_00052.png,52,"[-27.509181166666668, 152.91500066666666]"
images_00053.png,53,"[-27.509306333333335, 152.91503466666666]"
images_00054.png,54,"[-27.509425666666665, 152.91508966666666]"
images_00055.png,55,"[-27.509536666666666, 152.91516333333334]"
images_00056.png,56,"[-27.5096335, 152.915256]"
images_00057.png,57,"[-27.509721833333334, 152.9153605]"
images_00058.png,58,"[-27.509799, 152.91547883333334]"
images_00059.png,59,"[-27.509861833333332, 152.9156105]"
images_00060.png,60,"[-27.509909666666665, 152.91575083333333]"
images_00061.png,61,"[-27.509940166666667, 152.91589633333334]"
images_00062.png,62,"[-27.509940166666667, 152.91589633333334]"
images_00063.png,63,"[-27.509940166666667, 152.91589633333334]"
images_00064.png,64,"[-27.509979333333334, 152.91634666666667]"
images_00065.png,65,"[-27.5100065, 152.91649066666668]"
images_00066.png,66,"[-27.510048333333334, 152.91663166666666]"
images_00067.png,67,"[-27.510106333333333, 152.91676833333332]"
images_00068.png,68,"[-27.5101765, 152.91689933333333]"
images_00069.png,69,"[-27.510249, 152.91702683333332]"
images_00070.png,70,"[-27.510322, 152.91715116666666]"
images_00071.png,71,"[-27.510391, 152.91727233333333]"
images_00072.png,72,"[-27.510453666666667, 152.91739133333334]"
images_00073.png,73,"[-27.510509333333335, 152.91750533333334]"
images_00074.png,74,"[-27.510550833333333, 152.917614]"
images_00075.png,75,"[-27.5105745, 152.91771783333334]"
images_00076.png,76,"[-27.510575, 152.91782133333334]"
images_00077.png,77,"[-27.510575, 152.91782133333334]"
images_00078.png,78,"[-27.510570333333334, 152.91799566666666]"
images_00079.png,79,"[-27.510570333333334, 152.91799566666666]"
images_00080.png,80,"[-27.510643, 152.918126]"
images_00081.png,81,"[-27.510643, 152.918126]"
images_00082.png,82,"[-27.510788666666667, 152.91814066666666]"
images_00083.png,83,"[-27.510788666666667, 152.91814066666666]"
images_00084.png,84,"[-27.510935833333335, 152.91802866666666]"
images_00085.png,85,"[-27.511025833333335, 152.91797533333335]"
images_00086.png,86,"[-27.511130333333334, 152.91794]"
images_00087.png,87,"[-27.5112455, 152.91792066666667]"
images_00088.png,88,"[-27.511366, 152.91790816666668]"
images_00089.png,89,"[-27.511492166666667, 152.91789616666668]"
images_00090.png,90,"[-27.51162933333333, 152.91788183333333]"
images_00091.png,91,"[-27.511767833333334, 152.91786716666667]"
images_00092.png,92,"[-27.51191, 152.91785466666667]"
images_00093.png,93,"[-27.512053166666668, 152.91784766666666]"
images_00094.png,94,"[-27.512201666666666, 152.91785583333333]"
images_00095.png,95,"[-27.5123445, 152.917886]"
images_00096.png,96,"[-27.51247516666667, 152.91795083333332]"
images_00097.png,97,"[-27.512589166666668, 152.91804516666667]"
images_00098.png,98,"[-27.512689666666667, 152.91816016666667]"
images_00099.png,99,"[-27.512776166666665, 152.9182915]"
images_00100.png,100,"[-27.512861, 152.91842466666668]"
images_00101.png,101,"[-27.512942833333334, 152.918559]"
images_00102.png,102,"[-27.513024666666666, 152.91869566666668]"
images_00103.png,103,"[-27.513107666666667, 152.9188325]"
images_00104.png,104,"[-27.513189666666666, 152.9189735]"
images_00105.png,105,"[-27.513276333333334, 152.91911116666665]"
images_00106.png,106,"[-27.513364833333334, 152.9192455]"
images_00107.png,107,"[-27.513458, 152.91937366666667]"
images_00108.png,108,"[-27.5135605, 152.919493]"
images_00109.png,109,"[-27.513670666666666, 152.91960533333332]"
images_00110.png,110,"[-27.513788333333334, 152.91970933333334]"
images_00111.png,111,"[-27.513912666666666, 152.91980933333335]"
images_00112.png,112,"[-27.514040666666666, 152.91991]"
images_00113.png,113,"[-27.51416783333333, 152.92001]"
images_00114.png,114,"[-27.514290333333335, 152.92010866666666]"
images_00115.png,115,"[-27.514411666666668, 152.92020533333334]"
images_00116.png,116,"[-27.51453233333333, 152.92030183333333]"
images_00117.png,117,"[-27.5146515, 152.92039966666667]"
images_00118.png,118,"[-27.514768666666665, 152.92049483333332]"
images_00119.png,119,"[-27.514880833333333, 152.92058533333332]"
images_00120.png,120,"[-27.514988666666667, 152.92067333333333]"
images_00121.png,121,"[-27.515097666666666, 152.92076383333333]"
images_00122.png,122,"[-27.5152065, 152.92085866666667]"
images_00123.png,123,"[-27.515305, 152.92096733333332]"
images_00124.png,124,"[-27.515397166666666, 152.92108566666667]"
images_00125.png,125,"[-27.515489166666665, 152.921207]"
images_00126.png,126,"[-27.515579833333334, 152.92133433333333]"
images_00127.png,127,"[-27.515673, 152.92146416666668]"
images_00128.png,128,"[-27.515768333333334, 152.92158966666668]"
images_00129.png,129,"[-27.515864333333333, 152.9217145]"
images_00130.png,130,"[-27.515956833333334, 152.92184383333333]"
images_00131.png,131,"[-27.516048166666668, 152.92197516666667]"
images_00132.png,132,"[-27.516130166666667, 152.9221075]"
images_00133.png,133,"[-27.5161935, 152.92225133333332]"
images_00134.png,134,"[-27.5162405, 152.92239633333332]"
images_00135.png,135,"[-27.516269666666666, 152.92254566666668]"
images_00136.png,136,"[-27.516284833333334, 152.92269683333333]"
images_00137.png,137,"[-27.516287166666668, 152.92284866666665]"
images_00138.png,138,"[-27.516279, 152.92300233333333]"
images_00139.png,139,"[-27.516269833333332, 152.9231565]"
images_00140.png,140,"[-27.51626733333333, 152.92331216666668]"
images_00141.png,141,"[-27.5162815, 152.9234645]"
images_00142.png,142,"[-27.516312666666668, 152.92360933333333]"
images_00143.png,143,"[-27.5163585, 152.92373616666666]"
images_00144.png,144,"[-27.516414333333334, 152.9238375]"
images_00145.png,145,"[-27.516414333333334, 152.9238375]"
images_00146.png,146,"[-27.51650933333333, 152.92395516666667]"
images_00147.png,147,"[-27.51650933333333, 152.92395516666667]"
images_00148.png,148,"[-27.51650933333333, 152.92395516666667]"
images_00149.png,149,"[-27.51650933333333, 152.92395516666667]"
images_00150.png,150,"[-27.51650933333333, 152.92395516666667]"
images_00151.png,151,"[-27.51650933333333, 152.92395516666667]"
images_00152.png,152,"[-27.51650933333333, 152.92395516666667]"
images_00153.png,153,"[-27.51650933333333, 152.92395516666667]"
images_00154.png,154,"[-27.51650933333333, 152.92395516666667]"
images_00155.png,155,"[-27.51650933333333, 152.92395516666667]"
images_00156.png,156,"[-27.51650933333333, 152.92395516666667]"
images_00157.png,157,"[-27.51650933333333, 152.92395516666667]"
images_00158.png,158,"[-27.51650933333333, 152.92395516666667]"
images_00159.png,159,"[-27.51650933333333, 152.92395516666667]"
images_00160.png,160,"[-27.51650933333333, 152.92395516666667]"
images_00161.png,161,"[-27.51650933333333, 152.92395516666667]"
images_00162.png,162,"[-27.51650933333333, 152.92395516666667]"
images_00163.png,163,"[-27.516577666666667, 152.92407666666668]"
images_00164.png,164,"[-27.516577666666667, 152.92407666666668]"
images_00165.png,165,"[-27.516561166666666, 152.92421583333334]"
images_00166.png,166,"[-27.516561166666666, 152.92421583333334]"
images_00167.png,167,"[-27.516539166666668, 152.9244285]"
images_00168.png,168,"[-27.516527333333332, 152.92456233333334]"
images_00169.png,169,"[-27.516511333333334, 152.9247095]"
images_00170.png,170,"[-27.516486333333333, 152.92485833333333]"
images_00171.png,171,"[-27.516446666666667, 152.92500433333333]"
images_00172.png,172,"[-27.5163905, 152.92515083333333]"
images_00173.png,173,"[-27.516324, 152.92530016666666]"
images_00174.png,174,"[-27.5162515, 152.92545366666667]"
images_00175.png,175,"[-27.516177, 152.92560933333334]"
images_00176.png,176,"[-27.516103333333334, 152.92576616666668]"
images_00177.png,177,"[-27.5160295, 152.92592383333334]"
images_00178.png,178,"[-27.515955666666667, 152.92608116666668]"
images_00179.png,179,"[-27.515883166666665, 152.926236]"
images_00180.png,180,"[-27.515812666666665, 152.92638716666667]"
images_00181.png,181,"[-27.515743166666667, 152.92653616666666]"
images_00182.png,182,"[-27.5156745, 152.9266835]"
images_00183.png,183,"[-27.515605333333333, 152.9268315]"
images_00184.png,184,"[-27.515536, 152.92698033333335]"
images_00185.png,185,"[-27.5154675, 152.92712766666668]"
images_00186.png,186,"[-27.515400666666668, 152.9272715]"
images_00187.png,187,"[-27.515334, 152.92741416666667]"
images_00188.png,188,"[-27.515266166666667, 152.927559]"
images_00189.png,189,"[-27.515197666666666, 152.92770566666667]"
