Image_name,index,gps_coordinate
images_00000.png,0,"[-27.506679666666667, 152.91105033333332]"
images_00011.png,1,"[-27.5068445, 152.91215783333334]"
images_00018.png,2,"[-27.506999666666665, 152.91317383333333]"
images_00025.png,3,"[-27.507152333333334, 152.91418733333333]"
images_00040.png,4,"[-27.507658833333334, 152.91505716666666]"
images_00048.png,5,"[-27.508662833333332, 152.9150125]"
images_00056.png,6,"[-27.5096335, 152.915256]"
images_00064.png,7,"[-27.509979333333334, 152.91634666666667]"
images_00071.png,8,"[-27.510391, 152.91727233333333]"
images_00086.png,9,"[-27.511130333333334, 152.91794]"
images_00093.png,10,"[-27.512053166666668, 152.91784766666666]"
images_00100.png,11,"[-27.512861, 152.91842466666668]"
images_00107.png,12,"[-27.513458, 152.91937366666667]"
images_00113.png,13,"[-27.51416783333333, 152.92001]"
images_00120.png,14,"[-27.514988666666667, 152.92067333333333]"
images_00127.png,15,"[-27.515673, 152.92146416666668]"
images_00134.png,16,"[-27.5162405, 152.92239633333332]"
images_00141.png,17,"[-27.5162815, 152.9234645]"
images_00168.png,18,"[-27.516527333333332, 152.92456233333334]"
images_00175.png,19,"[-27.516177, 152.92560933333334]"
images_00181.png,20,"[-27.515743166666667, 152.92653616666666]"
images_00188.png,21,"[-27.515266166666667, 152.927559]"
images_00195.png,22,"[-27.514816333333332, 152.92859516666667]"
images_00202.png,23,"[-27.514711166666668, 152.9297235]"
images_00209.png,24,"[-27.514667333333332, 152.93087833333334]"
images_00216.png,25,"[-27.514537, 152.93202833333334]"
images_00224.png,26,"[-27.514033333333334, 152.93301533333334]"
images_00231.png,27,"[-27.513038666666667, 152.93333233333334]"
images_00238.png,28,"[-27.512166333333333, 152.93387816666666]"
images_00245.png,29,"[-27.511306833333332, 152.9345025]"
images_00252.png,30,"[-27.510699, 152.93537083333334]"
images_00279.png,31,"[-27.510457166666665, 152.93641]"
images_00297.png,32,"[-27.510283333333334, 152.93741633333335]"
images_00311.png,33,"[-27.5094885, 152.93803466666665]"
images_00323.png,34,"[-27.508538666666666, 152.93837716666667]"
images_00345.png,35,"[-27.507676666666665, 152.9387305]"
images_00378.png,36,"[-27.506991166666666, 152.93793066666666]"
images_00386.png,37,"[-27.506737, 152.9368715]"
images_00394.png,38,"[-27.506690666666668, 152.9357175]"
images_00401.png,39,"[-27.50653, 152.93466616666666]"
images_00408.png,40,"[-27.506133833333333, 152.93368316666667]"
images_00415.png,41,"[-27.505406833333332, 152.93292316666665]"
images_00425.png,42,"[-27.504371, 152.9319485]"
images_00432.png,43,"[-27.503436666666666, 152.93167983333333]"
images_00439.png,44,"[-27.502467166666666, 152.93144]"
images_00446.png,45,"[-27.501648, 152.930991]"
images_00453.png,46,"[-27.501209, 152.930087]"
images_00460.png,47,"[-27.500488833333332, 152.92939883333332]"
images_00467.png,48,"[-27.499489166666667, 152.929111]"
images_00474.png,49,"[-27.498514166666666, 152.92869966666666]"
images_00481.png,50,"[-27.497544166666668, 152.92830966666668]"
images_00488.png,51,"[-27.496784333333334, 152.9276085]"
images_00495.png,52,"[-27.496428333333334, 152.92661]"
images_00502.png,53,"[-27.496607, 152.92555383333334]"
images_00509.png,54,"[-27.496399833333335, 152.92453733333332]"
images_00516.png,55,"[-27.496485833333335, 152.92343983333333]"
images_00523.png,56,"[-27.496707, 152.92233366666667]"
images_00530.png,57,"[-27.496919833333333, 152.92127866666667]"
images_00537.png,58,"[-27.497044166666665, 152.92019983333333]"
images_00551.png,59,"[-27.497609666666666, 152.919338]"
images_00558.png,60,"[-27.498428333333333, 152.9188375]"
images_00565.png,61,"[-27.499184333333332, 152.918178]"
images_00573.png,62,"[-27.500109833333333, 152.9178005]"
images_00594.png,63,"[-27.5005585, 152.91681583333335]"
images_00605.png,64,"[-27.500307, 152.915358]"
images_00621.png,65,"[-27.500305333333333, 152.91432016666667]"
images_00629.png,66,"[-27.5012295, 152.91397833333335]"
images_00636.png,67,"[-27.502177, 152.91357866666667]"
images_00643.png,68,"[-27.503159833333335, 152.913176]"
images_00650.png,69,"[-27.504133500000002, 152.91338783333333]"
images_00657.png,70,"[-27.504992833333333, 152.9140425]"
images_00663.png,71,"[-27.5058225, 152.91444683333333]"
images_00670.png,72,"[-27.506751833333333, 152.91481816666666]"
images_00685.png,73,"[-27.507150666666668, 152.913854]"
images_00692.png,74,"[-27.506987166666665, 152.91275733333333]"
images_00700.png,75,"[-27.506808666666668, 152.91164016666667]"
